library_name,persona_name,github_link
file_system_analyzer,security_auditor,https://github.com/code-refactor/file_system_analyzer_security_auditor
file_system_analyzer,db_admin,https://github.com/code-refactor/file_system_analyzer_db_admin
query_language_interpreter,data_privacy_officer,https://github.com/code-refactor/query_language_interpreter_data_privacy_officer
query_language_interpreter,legal_discovery_specialist,https://github.com/code-refactor/query_language_interpreter_legal_discovery_specialist
personal_knowledge_management,product_manager,https://github.com/code-refactor/personal_knowledge_management_product_manager
personal_knowledge_management,academic_researcher,https://github.com/code-refactor/personal_knowledge_management_academic_researcher
virtual_machine_emulator,parallel_researcher,https://github.com/code-refactor/virtual_machine_emulator_parallel_researcher
virtual_machine_emulator,security_researcher,https://github.com/code-refactor/virtual_machine_emulator_security_researcher
personal_finance_tracker,freelancer,https://github.com/code-refactor/personal_finance_tracker_freelancer
personal_finance_tracker,socially_responsible_investor,https://github.com/code-refactor/personal_finance_tracker_socially_responsible_investor
in_memory_database,ml_engineer,https://github.com/code-refactor/in_memory_database_ml_engineer
in_memory_database,mobile_developer,https://github.com/code-refactor/in_memory_database_mobile_developer
command_line_task_manager,researcher,https://github.com/code-refactor/command_line_task_manager_researcher
command_line_task_manager,security_analyst,https://github.com/code-refactor/command_line_task_manager_security_analyst
text_editor,student,https://github.com/code-refactor/text_editor_student
text_editor,writer,https://github.com/code-refactor/text_editor_writer
concurrent_task_scheduler,scientific_computing,https://github.com/code-refactor/concurrent_task_scheduler_scientific_computing
concurrent_task_scheduler,render_farm_manager,https://github.com/code-refactor/concurrent_task_scheduler_render_farm_manager
incremental_backup_system,digital_artist,https://github.com/code-refactor/incremental_backup_system_digital_artist
incremental_backup_system,game_developer,https://github.com/code-refactor/incremental_backup_system_game_developer
